COUNTY,field_2,UNIT,DIRECTION,LENGTH,
bari,6,42196,2,5000,
bari,6,42197,1,5000,
bari,6,42197,2,5000,
bari,6,42198,1,5000,
bari,6,42198,2,5000,
bari,6,42294,2,107.781,
bari,6,42492,1,607.149,
bari,6,42492,2,4113.94,
bari,6,42496,1,5000,
bari,6,42496,2,4713.642,
bari,6,42498,1,3404.864,
bari,6,42498,2,3277.625,
bari,6,42591,1,1151.191,
bari,6,42591,2,2240.802,
bari,6,42592,1,5000,
bari,6,42592,2,5000,
bari,6,42593,2,544.219,
bari,6,42594,1,5000,
bari,6,42594,2,5000,
bari,6,42595,1,4218.398,
bari,6,42595,2,4090.627,
bari,6,42596,1,5000,
bari,6,42596,2,5000,
bari,6,42597,2,1357.516,
bari,6,42598,1,5000,
bari,6,42598,2,5000,
bari,6,42686,2,848.961,
bari,6,42691,1,3867.68,
bari,6,42691,2,4200.422,
bari,6,42692,1,5000,
bari,6,42692,2,5000,
bari,6,42693,1,2343.266,
bari,6,42693,2,5000,
bari,6,42694,1,5000,
bari,6,42694,2,5000,
bari,6,42695,1,5000,
bari,6,42695,2,5000,
bari,6,42696,1,5000,
bari,6,42696,2,5000,
bari,6,42697,1,5000,
bari,6,42697,2,4899.398,
bari,6,42698,1,5000,
bari,6,42698,2,5000,
bari,6,42784,2,591.484,
bari,6,42791,2,3886.258,
bari,6,42792,1,5000,
bari,6,42792,2,5000,
bari,6,42793,1,1983.641,
bari,6,42793,2,5000,
bari,6,42794,1,5000,
bari,6,42794,2,5000,
bari,6,42795,1,1537.898,
bari,6,42795,2,1850.922,
bari,6,42796,1,5000,
bari,6,42796,2,5000,
bari,6,42797,1,5000,
bari,6,42797,2,4765.492,
bari,6,42798,1,5000,
bari,6,42798,2,5000,
bari,6,42891,2,2363.398,
bari,6,42892,1,5000,
bari,6,42892,2,5000,
bari,6,42893,2,2190.258,
bari,6,42894,1,5000,
bari,6,42894,2,5000,
bari,6,42895,2,1379.844,
bari,6,42896,1,5000,
bari,6,42896,2,5000,
bari,6,42897,1,3863.414,
bari,6,42897,2,2864.484,
bari,6,42898,1,5000,
bari,6,42898,2,5000,
bari,6,42991,2,2870.008,
bari,6,42992,1,5000,
bari,6,42992,2,5000,
bari,6,42993,2,1445.5,
bari,6,42994,1,5000,
bari,6,42994,2,5000,
bari,6,42995,1,5000,
bari,6,42995,2,2766.578,
bari,6,42996,1,5000,
bari,6,42996,2,5000,
bari,6,42997,1,592.039,
bari,6,42997,2,1360.656,
bari,6,42998,1,5000,
bari,6,42998,2,5000,
bari,6,43001,1,5000,
bari,6,43001,2,5000,
bari,6,43002,1,5000,
bari,6,43002,2,5000,
bari,6,43003,1,5000,
bari,6,43003,2,5000,
bari,6,43004,1,5000,
bari,6,43004,2,5000,
bari,6,43005,1,5000,
bari,6,43005,2,5000,
bari,6,43006,1,5000,
bari,6,43006,2,5000,
bari,6,43007,1,5000,
bari,6,43007,2,5000,
bari,6,43008,1,5000,
bari,6,43008,2,5000,
bari,6,43011,1,5000,
bari,6,43011,2,5000,
bari,6,43012,1,5000,
bari,6,43012,2,5000,
bari,6,43013,1,5000,
bari,6,43013,2,5000,
bari,6,43014,1,5000,
bari,6,43014,2,5000,
bari,6,43015,1,5000,
bari,6,43015,2,5000,
bari,6,43016,1,5000,
bari,6,43016,2,5000,
bari,6,43017,1,5000,
bari,6,43017,2,5000,
bari,6,43018,1,5000,
bari,6,43018,2,5000,
bari,6,43021,1,5000,
bari,6,43021,2,5000,
bari,6,43022,1,5000,
bari,6,43022,2,3684.125,
bari,6,43023,1,5000,
bari,6,43023,2,5000,
bari,6,43024,1,5000,
bari,6,43024,2,5000,
bari,6,43025,1,5000,
bari,6,43025,2,5000,
bari,6,43026,1,1299.546,
bari,6,43026,2,1045.922,
bari,6,43027,1,5000,
bari,6,43027,2,5000,
bari,6,43028,1,5000,
bari,6,43028,2,5000,
bari,6,43031,1,2695.259,
bari,6,43032,1,3421.551,
bari,6,43033,1,3554.674,
